ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;n_unidade_inexistente;motivo_nao_coleta;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
1;novajus.com.br;3;3;3;0;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://novajus.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
2;wurthdobrasil.com.br;3;3;3;0;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://wurthdobrasil.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
3;kroton.com.br;4;6;0;0;0;;false;true;false;false;true;false;0.0084;0.3606;0.95;0.0822;0.65;0.0014;0;31;0.0;4;31;0.129032;0;31;0.0;false;https://kroton.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
4;uems.br;2;6;0;0;0;;true;true;false;true;true;false;0.9421;0.7198;0.95;0.994;0.95;0.0053;12;683;0.01757;101;683;0.147877;0;683;0.0;false;https://uems.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
5;tjap.jus.br;1;6;0;0;0;;true;true;false;true;true;true;0.1546;0.2906;0.95;0.6469;0.95;0.0198;1;1407;0.000711;60;1407;0.042644;5;1407;0.003554;true;https://tjap.jus.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
6;anp.gov.br;0;6;0;0;0;;true;true;true;true;true;true;0.9954;0.9916;0.65;0.994;0.95;0.9307;26;1005;0.025871;205;1005;0.20398;6;1005;0.00597;false;https://anp.gov.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
7;infraero.gov.br;0;6;0;0;0;;true;true;true;true;true;true;0.8883;0.7912;0.65;0.6469;0.95;0.0107;8;174;0.045977;41;174;0.235632;1;174;0.005747;false;https://infraero.gov.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
8;acessorh.com.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://acessorh.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
9;bitcom.psi.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://bitcom.psi.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
10;franca.sp.gov.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://franca.sp.gov.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
11;fulltrack.net.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://fulltrack.net.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
12;ia.br;0;0;0;0;6;nome_nao_resolve;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://ia.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
13;lumeway.com.br;0;0;0;0;6;nome_nao_resolve;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://lumeway.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
14;meucurriculoperfeito.com.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://meucurriculoperfeito.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
15;online.net.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://online.net.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
16;pdpj.jus.br;0;0;0;0;6;nome_nao_resolve;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://pdpj.jus.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
17;policia-civil.sp.gov.br;0;0;0;0;6;nome_nao_resolve;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://policia-civil.sp.gov.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
18;primelinelatam.com.br;0;0;0;0;6;nome_nao_resolve;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;unidade_inexistente;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://primelinelatam.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
19;qualityautomacao.com.br;0;0;0;6;0;robots_proibe;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://qualityautomacao.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
20;sgisistemas.com.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://sgisistemas.com.br;06684942-f8a8-4521-9531-2cf7eb2abd87;diagnostico-sem-coleta-v1.0.0
