ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;n_unidade_inexistente;motivo_nao_coleta;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
1;ambev.com.br;3;3;3;0;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ambev.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
2;sefaz.pe.gov.br;3;3;3;0;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://sefaz.pe.gov.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
3;gigabicho.com.br;4;6;0;0;0;;false;true;false;false;true;false;0.0677;0.387;0.95;0.0822;0.65;0.0024;0;76;0.0;11;76;0.144737;0;76;0.0;false;https://gigabicho.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
4;appus.com.br;0;6;0;0;0;;true;true;true;true;true;true;0.9994;0.7997;0.95;0.9988;0.95;0.0962;2;105;0.019048;21;105;0.2;4;105;0.038095;false;https://appus.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
5;seduc.ce.gov.br;0;6;0;0;0;;true;true;true;true;true;true;0.9784;0.8637;0.95;0.9299;0.95;0.0356;19;971;0.019567;106;971;0.109166;8;971;0.008239;false;https://seduc.ce.gov.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
6;tendaatacado.com.br;0;6;0;0;0;;true;true;true;true;true;true;0.8883;0.8148;0.65;0.994;0.95;0.9577;15;301;0.049834;61;301;0.202658;3;301;0.009967;false;https://tendaatacado.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
7;seminovos.com.br;2;2;0;4;0;desafio_anti_bot;nao_coletado;nao_coletado;false;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.0822;0.0;0.0;;;;;;;;;;false;https://seminovos.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
8;maxtitanium.com.br;1;2;0;4;0;desafio_anti_bot;nao_coletado;nao_coletado;true;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.3926;0.0;0.0;;;;;;;;;;false;https://maxtitanium.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
9;ahgora.com.br;0;0;0;6;0;robots_proibe;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://ahgora.com.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
10;brasiltelecom.net.br;0;0;0;6;0;coleta_expirou;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;nao_coletado;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;false;https://brasiltelecom.net.br;965f2889-52bc-4cf5-bead-e37b90a3f265;exercicio-csv-N2KLW-v1.1.0
