padrao;n;positivos;prob_predita;freq_observada;ic_inf;ic_sup;desvio;avaliavel;compativel
(nenhum);84;6;0.0821567579004603;0.07142857142857142;0.03314580993583533;0.14719567156244456;-0.010728186471888876;True;True
F8;31;11;0.3493470054034889;0.3548387096774194;0.21116659093865403;0.5305204593563113;0.0054917042739304756;True;True
F1F7F8;14;14;0.9939501315023114;1.0;0.7846891972623643;1.0;0.006049868497688626;True;True
F3F7F8;12;11;0.9574997251521304;0.9166666666666666;0.646120088858883;0.9851349055950829;-0.04083305848546381;True;True
F2F7F8;12;12;0.9851016155068625;1.0;0.7575059933447592;1.0;0.014898384493137518;True;True
F7F8;6;4;0.6468739581621864;0.6666666666666666;0.299993315138392;0.9032285888942195;0.019792708504480228;True;True
F1F7;3;3;0.9647758456910466;1.0;0.4385029682449546;1.0;0.035224154308953426;False;
F1F4F5F7F8;3;3;0.9949685775216518;1.0;0.4385029682449546;1.0;0.005031422478348202;False;
F1F3F7F8;3;3;0.9995053369641504;1.0;0.4385029682449546;1.0;0.0004946630358495518;False;
F2F6F7F8;2;2;0.9537309208860762;1.0;0.34238022750665303;1.0;0.04626907911392375;False;
F1F6F7F8;2;2;0.9808490483360909;1.0;0.34238022750665303;1.0;0.01915095166390912;False;
F3F8;2;2;0.8684790975155942;1.0;0.34238022750665303;1.0;0.13152090248440584;False;
F2F3F7F8;2;2;0.9987718047242695;1.0;0.34238022750665303;1.0;0.0012281952757304815;False;
F1F2F7F8;2;2;0.9998314005399632;1.0;0.34238022750665303;1.0;0.00016859946003677795;False;
F4F5F7F8;2;1;0.6879782499529423;0.5;0.09453120573423074;0.9054687942657693;-0.18797824995294232;False;
F3F6F7F8;2;2;0.8753627173073123;1.0;0.34238022750665303;1.0;0.1246372826926877;False;
F3F7;2;2;0.7897348880391968;1.0;0.34238022750665303;1.0;0.21026511196080322;False;
F2F8;2;2;0.950932904436977;1.0;0.34238022750665303;1.0;0.04906709556302302;False;
F4F7;2;1;0.36339444246436525;0.5;0.09453120573423074;0.9054687942657693;0.13660555753563475;False;
F1F8;2;2;0.9796559575927278;1.0;0.34238022750665303;1.0;0.020344042407272167;False;
F2F4F6F7;1;1;0.8652876093700601;1.0;0.20654931437723745;1.0;0.1347123906299399;False;
F1F6F7;1;1;0.8951611551645393;1.0;0.20654931437723745;1.0;0.10483884483546069;False;
F1F2F5F7F8;1;1;0.9997382018795111;1.0;0.20654931437723745;1.0;0.0002617981204888764;False;
F2F4F7F8;1;1;0.9919738435765918;1.0;0.20654931437723745;1.0;0.008026156423408204;False;
F4F7F8;1;1;0.7739630018949893;1.0;0.20654931437723745;1.0;0.22603699810501066;False;
F2F7;1;1;0.916827704292116;1.0;0.20654931437723745;1.0;0.08317229570788398;False;
F6F8;1;0;0.14338010744183988;0.0;0.0;0.7934506856227626;-0.14338010744183988;False;
F1;1;1;0.8892326234617729;1.0;0.20654931437723745;1.0;0.1107673765382271;False;
F7;1;0;0.23394635813699236;0.0;0.0;0.7934506856227626;-0.23394635813699236;False;
F1F4F6F7;1;1;0.9410373349617982;1.0;0.20654931437723745;1.0;0.0589626650382018;False;
F1F6F8;1;1;0.9375456169988542;1.0;0.20654931437723745;1.0;0.06245438300114581;False;
F1F3F5F7F8;1;1;0.9992320348378154;1.0;0.20654931437723745;1.0;0.0007679651621845807;False;
F2F3F6F7F8;1;1;0.9960708534564208;1.0;0.20654931437723745;1.0;0.003929146543579232;False;
F1F5F6F7F8;1;1;0.9705716037396008;1.0;0.20654931437723745;1.0;0.02942839626039917;False;
F5F7F8;1;1;0.5412026947162075;1.0;0.20654931437723745;1.0;0.4587973052837925;False;
F1F5F7F8;1;1;0.9906363231671029;1.0;0.20654931437723745;1.0;0.009363676832897072;False;
F3F5F8;1;1;0.8096036222297702;1.0;0.20654931437723745;1.0;0.19039637777022977;False;
