site_id;estrato;y;F1_email_lgpd_proprio;F2_email_lgpd_externo;F3_email_generico_ancorado;F4_subpagina_titular;F5_contato_ancorado;F6_telefone_ancorado;F7_ancora_encarregado;F8_ancora_direitos
4music.com.br;corp;0;0;0;0;0;0;0;0;0
aa.org.br;corp;1;0;0;0;0;0;0;0;1
acontecendoaqui.com.br;corp;1;0;0;0;0;0;0;0;1
administracao.pr.gov.br;gov;1;0;1;0;1;0;1;1;0
agenciasp.sp.gov.br;gov;0;0;0;0;0;0;0;0;0
agoradiario.com.br;corp;0;0;0;0;0;0;0;0;1
aime.com.br;corp;1;0;0;0;0;0;0;0;1
al.ce.gov.br;gov;1;1;0;0;0;0;1;1;0
alagoasdigital.al.gov.br;gov;0;0;0;0;0;0;0;0;0
amazonas.am.gov.br;gov;0;0;0;0;0;0;0;0;0
anhangueraferramentas.com.br;corp;0;0;0;0;0;0;0;0;1
anpad.org.br;corp;1;1;0;0;0;0;0;1;0
apisul.com.br;corp;1;1;0;0;1;1;0;1;1
apologeta.com.br;corp;0;0;0;0;0;0;0;0;0
aquiacontece.com.br;corp;1;0;0;0;0;0;0;1;1
ariastelecom.com.br;corp;0;0;0;0;0;0;0;0;0
armazemdc.com.br;corp;1;0;1;0;0;0;1;1;1
arquidiocesebh.org.br;corp;1;1;1;0;0;1;0;1;1
assessoriavip.com.br;corp;1;0;0;1;0;0;0;1;1
assist.org.br;corp;1;1;0;0;0;0;0;1;1
atakarejo.com.br;corp;1;1;0;0;1;1;0;1;1
atribuna.com.br;corp;1;0;1;0;0;0;0;1;1
attackshark.net.br;corp;0;0;0;0;0;0;0;0;1
azzaparfums.com.br;corp;1;0;0;0;0;0;0;0;1
belenus.com.br;corp;0;0;0;0;0;0;0;0;1
biascentroeducacional.com.br;corp;0;0;0;0;0;0;0;0;0
bigcupom.com.br;corp;1;1;0;0;0;0;0;1;1
bilink.com.br;corp;0;0;0;0;0;0;0;0;0
bimper.com.br;corp;1;0;0;0;0;0;0;0;1
blips.com.br;corp;1;0;0;1;0;0;0;1;1
bradesco.com.br;corp;1;0;0;0;0;0;0;0;1
