site_id,estrato,seed
adidas.com.br,corp,20260629
apisul.com.br,corp,20260629
aquiacontece.com.br,corp,20260629
atakarejo.com.br,corp,20260629
attackshark.net.br,corp,20260629
babaperto.com.br,corp,20260629
blips.com.br,corp,20260629
cenprotnacional.org.br,corp,20260629
certificacaotecnica.com.br,corp,20260629
coelhinhadobrasil.com.br,corp,20260629
comper.com.br,corp,20260629
cpc.org.br,corp,20260629
cursosfr.com.br,corp,20260629
datacaixa.com.br,corp,20260629
desenhosecolorir.com.br,corp,20260629
diplan.com.br,corp,20260629
divinosilva.com.br,corp,20260629
donacharme.com.br,corp,20260629
econodata.com.br,corp,20260629
evas.com.br,corp,20260629
fcf.com.br,corp,20260629
fisco.net.br,corp,20260629
gobrax.com.br,corp,20260629
gocache.com.br,corp,20260629
ideau.com.br,corp,20260629
iob.com.br,corp,20260629
ipasgosaude.com.br,corp,20260629
iplaza.com.br,corp,20260629
jbytes.com.br,corp,20260629
jjnetweb.com.br,corp,20260629
jonhdrop.com.br,corp,20260629
labmm.com.br,corp,20260629
legisweb.com.br,corp,20260629
loginsiscon.com.br,corp,20260629
mailinbox.com.br,corp,20260629
neggos.com.br,corp,20260629
nuvemshop.com.br,corp,20260629
odontoexcellence.com.br,corp,20260629
ohanakameala.com.br,corp,20260629
ole.net.br,corp,20260629
pcd.com.br,corp,20260629
pedoimoveis.com.br,corp,20260629
pncq.org.br,corp,20260629
realoficial.com.br,corp,20260629
rifapersonalizada.com.br,corp,20260629
saviatendimento.com.br,corp,20260629
sitexpresso.com.br,corp,20260629
sorasa.com.br,corp,20260629
tigre.com.br,corp,20260629
tradersbrasil.com.br,corp,20260629
tupan.com.br,corp,20260629
turbocloud.com.br,corp,20260629
ufcat.edu.br,corp,20260629
unifatecie.edu.br,corp,20260629
usenow.com.br,corp,20260629
vibraresidencial.com.br,corp,20260629
agenciasp.sp.gov.br,gov,20260629
al.ce.gov.br,gov,20260629
cetesb.sp.gov.br,gov,20260629
consumidor.gov.br,gov,20260629
desenbahia.ba.gov.br,gov,20260629
e-docs.es.gov.br,gov,20260629
fundacaocasa.sp.gov.br,gov,20260629
guarulhos.sp.gov.br,gov,20260629
icmbio.gov.br,gov,20260629
iphan.gov.br,gov,20260629
londrina.pr.gov.br,gov,20260629
pmpr.pr.gov.br,gov,20260629
portaldoservidor.mg.gov.br,gov,20260629
sinop.mt.gov.br,gov,20260629
