variavel;conjunto;limiar;n;divulgam;nao_divulgam;VP;FP;FN;VN;revocacao_ausencia;rev_ic_inf;rev_ic_sup;precisao_ausencia;prec_ic_inf;prec_ic_sup;matthews;tamanho_da_fila;run_id
finalidade_especificada;fora do treino;1;126;107;19;107;19;0;0;0.0;0.0;0.1682;;;;0.0;0;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;2;126;107;19;107;19;0;0;0.0;0.0;0.1682;;;;0.0;0;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;3;126;107;19;106;18;1;1;0.0526;0.0094;0.2464;0.5;0.0945;0.9055;0.1239;2;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;4;126;107;19;103;18;4;1;0.0526;0.0094;0.2464;0.2;0.0362;0.6245;0.028;5;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;5;126;107;19;103;18;4;1;0.0526;0.0094;0.2464;0.2;0.0362;0.6245;0.028;5;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;7;126;107;19;102;18;5;1;0.0526;0.0094;0.2464;0.1667;0.0301;0.5635;0.0099;6;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;fora do treino;10;126;107;19;95;15;12;4;0.2105;0.0851;0.4333;0.25;0.1018;0.495;0.1057;16;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;1;15;14;1;14;1;0;0;0.0;0.0;0.7935;;;;0.0;0;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;2;15;14;1;14;1;0;0;0.0;0.0;0.7935;;;;0.0;0;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;3;15;14;1;14;1;0;0;0.0;0.0;0.7935;;;;0.0;0;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;4;15;14;1;13;1;1;0;0.0;0.0;0.7935;0.0;0.0;0.7935;-0.0714;1;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;5;15;14;1;13;1;1;0;0.0;0.0;0.7935;0.0;0.0;0.7935;-0.0714;1;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;7;15;14;1;12;0;2;1;1.0;0.2065;1.0;0.3333;0.0615;0.7923;0.5345;3;54b7aaf1-bc37-4279-b5e0-333ed3801169
finalidade_especificada;no treino;10;15;14;1;12;0;2;1;1.0;0.2065;1.0;0.3333;0.0615;0.7923;0.5345;3;54b7aaf1-bc37-4279-b5e0-333ed3801169
