variavel;site_id;estrato;no_treino;rotulo;n_sinalizadas;n_segmentos;estado_arcabouco;extrapolacao;incerto
finalidade_especificada;aa.org.br;corp;0;1;52;195;true;False;nao
finalidade_especificada;acontecendoaqui.com.br;corp;1;0;5;53;true;False;sim
finalidade_especificada;agoradiario.com.br;corp;0;1;11;58;true;False;nao
finalidade_especificada;aime.com.br;corp;0;1;75;240;true;False;nao
finalidade_especificada;anhangueraferramentas.com.br;corp;0;1;28;242;true;False;nao
finalidade_especificada;anpad.org.br;corp;0;1;3;35;true;False;nao
finalidade_especificada;apisul.com.br;corp;0;1;101;297;true;False;nao
finalidade_especificada;aquiacontece.com.br;corp;0;1;50;301;true;False;nao
finalidade_especificada;armazemdc.com.br;corp;0;1;20;86;true;False;nao
finalidade_especificada;arquidiocesebh.org.br;corp;0;1;39;255;true;False;nao
finalidade_especificada;assessoriavip.com.br;corp;0;1;28;93;true;False;nao
finalidade_especificada;assist.org.br;corp;0;1;20;64;true;False;nao
finalidade_especificada;atakarejo.com.br;corp;1;1;93;358;true;False;nao
finalidade_especificada;atribuna.com.br;corp;0;1;129;411;true;False;nao
finalidade_especificada;attackshark.net.br;corp;0;1;70;390;true;False;nao
finalidade_especificada;azzaparfums.com.br;corp;0;1;39;173;true;False;nao
finalidade_especificada;belenus.com.br;corp;0;1;23;118;true;False;nao
finalidade_especificada;bigcupom.com.br;corp;0;1;21;101;true;False;nao
finalidade_especificada;bimper.com.br;corp;0;1;16;71;true;False;nao
finalidade_especificada;blips.com.br;corp;0;1;37;165;true;False;nao
finalidade_especificada;bradesco.com.br;corp;0;1;17;73;true;False;nao
finalidade_especificada;celos.com.br;corp;0;1;24;140;true;False;nao
finalidade_especificada;cenprotnacional.org.br;corp;1;1;26;111;true;False;nao
finalidade_especificada;cgdw.com.br;corp;0;1;24;83;true;False;nao
finalidade_especificada;coelhinhadobrasil.com.br;corp;0;1;8;24;true;False;nao
finalidade_especificada;comper.com.br;corp;0;1;61;250;true;False;nao
finalidade_especificada;condominiodedicado.com.br;corp;0;1;18;78;true;False;nao
finalidade_especificada;confiance.com.br;corp;0;1;19;88;true;False;nao
finalidade_especificada;correspondentedinamico.com.br;corp;0;1;24;78;true;False;nao
finalidade_especificada;costaricacolchoes.com.br;corp;0;1;40;361;true;False;nao
finalidade_especificada;cplug.com.br;corp;1;1;89;440;true;False;nao
finalidade_especificada;cupomverde.com.br;corp;0;1;60;236;true;False;nao
finalidade_especificada;curriculointerativo.com.br;corp;0;0;53;302;true;False;sim
finalidade_especificada;cursosheliocouto.com.br;corp;0;1;39;188;true;False;nao
finalidade_especificada;datacaixa.com.br;corp;0;1;29;126;true;False;nao
finalidade_especificada;delupo.com.br;corp;0;1;39;146;true;False;nao
finalidade_especificada;desenhosecolorir.com.br;corp;0;1;17;87;true;False;nao
finalidade_especificada;diplan.com.br;corp;0;1;30;128;true;False;nao
finalidade_especificada;divinosilva.com.br;corp;0;1;34;137;true;False;nao
finalidade_especificada;dreamcasa.com.br;corp;0;1;15;105;true;False;nao
finalidade_especificada;econodata.com.br;corp;0;1;29;125;true;False;nao
finalidade_especificada;encurtador.com.br;corp;0;1;23;94;true;False;nao
finalidade_especificada;evas.com.br;corp;0;1;3;18;true;False;nao
finalidade_especificada;faap.br;corp;0;1;42;161;true;False;nao
finalidade_especificada;feltrimcorrea.com.br;corp;0;1;23;130;true;False;nao
finalidade_especificada;fieltorcedor.com.br;corp;0;1;136;594;true;False;nao
finalidade_especificada;flashapp.com.br;corp;0;1;50;198;true;False;nao
finalidade_especificada;flashnetbrasil.com.br;corp;0;1;22;136;true;False;nao
finalidade_especificada;futebolpaulista.com.br;corp;0;1;21;107;true;False;nao
finalidade_especificada;glam.com.br;corp;0;1;233;1004;true;False;nao
finalidade_especificada;gobrax.com.br;corp;0;1;34;89;true;False;nao
finalidade_especificada;gocache.com.br;corp;0;1;49;231;true;False;nao
finalidade_especificada;goodyear.com.br;corp;0;1;122;503;true;False;nao
finalidade_especificada;goomer.com.br;corp;0;0;53;231;true;False;sim
finalidade_especificada;hachi8.com.br;corp;0;0;24;116;true;False;nao
finalidade_especificada;hcpneus.com.br;corp;0;0;14;60;true;False;nao
finalidade_especificada;iclin.med.br;corp;1;1;6;42;true;False;nao
