variavel;site_id;segmento_id;y;regra;pred;prob
finalidade;iclin.med.br;1;0;0;0;0.027501
finalidade;iclin.med.br;4;0;0;0;0.003880
finalidade;iclin.med.br;5;0;0;0;0.003697
finalidade;iclin.med.br;6;0;0;0;0.005993
finalidade;iclin.med.br;7;0;1;0;0.040137
finalidade;iclin.med.br;8;0;1;0;0.016147
finalidade;iclin.med.br;9;0;0;0;0.004790
finalidade;iclin.med.br;10;0;0;0;0.009936
finalidade;iclin.med.br;11;0;1;0;0.038649
finalidade;iclin.med.br;12;0;0;0;0.008073
finalidade;iclin.med.br;13;0;0;0;0.012064
finalidade;iclin.med.br;14;0;0;0;0.018265
finalidade;iclin.med.br;15;0;0;0;0.005310
finalidade;iclin.med.br;16;0;0;0;0.003177
finalidade;iclin.med.br;17;0;0;0;0.003206
finalidade;iclin.med.br;18;0;0;0;0.001361
finalidade;iclin.med.br;20;0;0;0;0.012318
finalidade;iclin.med.br;21;0;0;0;0.005645
finalidade;iclin.med.br;22;0;0;0;0.061240
finalidade;iclin.med.br;23;0;0;0;0.021561
finalidade;iclin.med.br;24;0;0;0;0.005484
finalidade;iclin.med.br;25;0;0;0;0.013279
finalidade;iclin.med.br;26;0;0;0;0.029771
finalidade;iclin.med.br;27;0;0;0;0.002955
finalidade;iclin.med.br;28;0;0;0;0.008044
finalidade;iclin.med.br;29;1;0;0;0.066399
finalidade;iclin.med.br;30;1;0;0;0.029487
finalidade;iclin.med.br;31;1;1;1;0.452717
finalidade;iclin.med.br;32;1;1;1;0.424884
finalidade;iclin.med.br;33;1;1;1;0.521198
finalidade;iclin.med.br;34;1;0;1;0.160975
finalidade;iclin.med.br;35;0;0;0;0.011704
finalidade;iclin.med.br;36;0;1;0;0.073735
finalidade;iclin.med.br;37;0;1;0;0.097698
finalidade;iclin.med.br;38;0;1;0;0.013697
finalidade;iclin.med.br;39;0;1;0;0.067150
finalidade;iclin.med.br;40;0;0;0;0.007015
finalidade;iclin.med.br;41;0;0;0;0.027481
finalidade;iclin.med.br;42;0;0;0;0.011506
finalidade;iclin.med.br;45;0;0;0;0.064788
