site_id;estrato;origem;evidencia_arquivo;status;tem_canal_titular;forma:email_lgpd_controlador;forma:email_grupo_controlador;forma:email_generico_rotulado;forma:subpagina_canal_titular;forma:subpagina_encarregado;forma:telefone_encarregado;forma:formulario_direitos;forma:plataforma_externa_dsr;forma:outro;canal_incerto;finalidade;finalidade_incerto;direitos_titular;direitos_art18_I;direitos_art18_II;direitos_art18_III;direitos_art18_IV;direitos_art18_V;direitos_art18_VI;direitos_art18_VII;direitos_art18_VIII;direitos_art18_IX;direitos_count;direitos_incerto;transf_internacional;transf_subtipo;transf_art17_I;transf_art17_II;transf_art17_III;transf_art17_IV;transf_art17_V;transf_art17_VI;transf_count;transf_incerto;obs
4music.com.br;corp;b9;Rotulagem/evidencia_b9/4music.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;nao;0;nao;0;0;0;0;0;0;0;0;0;0;0;nao;0;silencio;0;0;0;0;0;0;0;nao;
aa.org.br;corp;b9;Rotulagem/evidencia_b9/aa.org.br.txt;text;1;0;0;0;0;0;0;0;0;1;nao;1;nao;1;0;1;1;1;0;0;0;0;0;3;nao;0;silencio;0;0;0;0;0;0;0;nao;
acontecendoaqui.com.br;corp;b9;Rotulagem/evidencia_b9/acontecendoaqui.com.br.txt;text;1;0;0;1;0;0;0;0;0;0;nao;0;sim;1;1;0;1;0;0;0;0;0;0;2;nao;0;silencio;0;0;0;0;0;0;0;nao;
adidas.com.br;corp;b9;Rotulagem/evidencia_b9/adidas.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;"TEXTO VISIVEL - PAGINA INICIAL]
adidas Reference Error: 18.d6c1002.[telefone suprimido].3b7e0054 Unfortunately we are unable to give you access to our site at this time. A security issue was automatically identified, when you tried to access the website. What could have caused this? During high-traffic product releases we have extra security in place to prevent bots entering our site. We do this to protect customers and to give everyone a fair chance of getting the sneakers. Something in your setup must have triggered our security system, so we cannot allow you onto the site. How can I resolve this? Please try refreshing or accessing our website from a different browser or another device. You could also check if there are any scripts, like ad blockers, running in your browser and disable them. If this does not help, the issue might be caused by malware. If you're on a personal connection you can run an anti-virus scan on your device to make sure it's not affected by malware. If you're on a shared network, you could ask the system administrator to run a scan looking for misconfigured or infected devices across the network. HTTP 403 - Forbidden"
agoradiario.com.br;corp;b9;Rotulagem/evidencia_b9/agoradiario.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;nao;1;nao;1;0;1;1;1;0;0;0;0;1;4;nao;0;silencio;0;0;0;0;0;0;0;nao;
aime.com.br;corp;b9;Rotulagem/evidencia_b9/aime.com.br.txt;text;1;;;1;;;;;;1;nao;1;nao;1;1;1;1;1;1;;1;;1;7;nao;1;transferencia;0;0;0;0;0;0;0;nao;
ajustconsulting.com.br;corp;b9;Rotulagem/evidencia_b9/ajustconsulting.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;silencio;;;;;;;0;nao;Site em manutenção
anhangueraferramentas.com.br;corp;b9;Rotulagem/evidencia_b9/anhangueraferramentas.com.br.txt;text;0;;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;nao;
anpad.org.br;corp;b9;Rotulagem/evidencia_b9/anpad.org.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;1;;1;1;1;8;nao;0;silencio;;;;;;;0;nao;
apisul.com.br;corp;b9;Rotulagem/evidencia_b9/apisul.com.br.txt;text;1;1;;;;;;0;1;1;nao;1;nao;1;1;1;1;1;1;;1;1;1;8;nao;0;silencio;;;;;;;0;nao;
apologeta.com.br;corp;b9;Rotulagem/evidencia_b9/apologeta.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;;;;;;;;0;nao;
aquiacontece.com.br;corp;b9;Rotulagem/evidencia_b9/aquiacontece.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;1;transferencia;;1;;;;;1;nao;
arcohosting.com.br;corp;b9;Rotulagem/evidencia_b9/arcohosting.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Falhou com erro 307
ariastelecom.com.br;corp;b9;Rotulagem/evidencia_b9/ariastelecom.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
armazemdc.com.br;corp;b9;Rotulagem/evidencia_b9/armazemdc.com.br.txt;text;1;;1;;;;;;;1;nao;1;nao;1;;1;1;1;;;;;;3;nao;0;silencio;;;;;;;0;nao;
arquidiocesebh.org.br;corp;b9;Rotulagem/evidencia_b9/arquidiocesebh.org.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;;8;nao;0;silencio;;;;;;;0;nao;
assessoriavip.com.br;corp;b9;Rotulagem/evidencia_b9/assessoriavip.com.br.txt;text;1;;1;;;;;;;1;nao;1;nao;1;0;1;1;;1;;;;;3;nao;0;silencio;;;;;;;0;nao;"o campo de Encarregado na política é um placeholder de template não preenchido (""Nome do Encarregado: [JS1]"") com [correio suprimido]."
