nome;tipo;sistema;ip;publico;tcp443;https;ref_dns;ref_tcp
sgisistemas.com.br;alvo;resolve;173.44.46.2;resolve;timeout;-;resolve;timeout
www.sgisistemas.com.br;alvo;resolve;173.44.46.2;resolve;timeout;-;resolve;timeout
qualityautomacao.com.br;alvo;resolve;3.166.181.29;resolve;conecta;HTTP/1.1 200 OK;-;-
www.qualityautomacao.com.br;alvo;resolve;3.166.181.49;resolve;conecta;HTTP/1.1 200 OK;-;-
acessorh.com.br;alvo;resolve;34.95.83.52;resolve;conecta;HTTP/1.1 301 Moved Permanently;resolve;conecta
www.acessorh.com.br;alvo;resolve;35.184.198.144;resolve;timeout;-;resolve;timeout
ia.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.ia.br;alvo;NXDOMAIN;;?;-;-;-;-
policia-civil.sp.gov.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.policia-civil.sp.gov.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
wurthdobrasil.com.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.wurthdobrasil.com.br;alvo;resolve;200.186.96.251;resolve;conecta;HTTP/1.1 200 OK;resolve;conecta
kroton.com.br;alvo;resolve;34.230.121.250;resolve;conecta;HTTP/1.1 301 Moved Permanently;resolve;conecta
www.kroton.com.br;alvo;resolve;13.227.110.94;resolve;conecta;HTTP/1.1 200 OK;resolve;conecta
anp.gov.br;alvo;resolve;189.42.200.10;resolve;conecta;TimeoutError;resolve;conecta
www.anp.gov.br;alvo;resolve;104.18.22.250;resolve;conecta;HTTP/1.1 301 Moved Permanently;resolve;conecta
bitcom.psi.br;alvo;resolve;187.63.160.81;resolve;timeout;-;resolve;timeout
www.bitcom.psi.br;alvo;resolve;34.149.87.45;resolve;conecta;SSLEOFError;resolve;conecta
fulltrack.net.br;alvo;resolve;54.94.161.246;resolve;timeout;-;resolve;timeout
www.fulltrack.net.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
pdpj.jus.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.pdpj.jus.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
online.net.br;alvo;resolve;191.7.194.6;resolve;timeout;-;resolve;timeout
www.online.net.br;alvo;resolve;191.7.194.6;resolve;timeout;-;resolve;timeout
novajus.com.br;alvo;resolve;52.251.7.31;resolve;timeout;-;resolve;timeout
www.novajus.com.br;alvo;resolve;13.77.83.246;resolve;conecta;HTTP/1.1 302 Found;resolve;conecta
infraero.gov.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.infraero.gov.br;alvo;resolve;45.171.51.77;resolve;conecta;HTTP/1.0 302 Moved Temporarily;resolve;conecta
uems.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.uems.br;alvo;resolve;200.129.208.21;resolve;conecta;HTTP/1.1 200 OK;resolve;conecta
meucurriculoperfeito.com.br;alvo;resolve;2.16.169.13;resolve;conecta;TimeoutError;resolve;conecta
www.meucurriculoperfeito.com.br;alvo;resolve;2.16.169.9;resolve;conecta;TimeoutError;resolve;conecta
primelinelatam.com.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.primelinelatam.com.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
tjap.jus.br;alvo;resolve;177.66.7.3;resolve;timeout;-;resolve;timeout
www.tjap.jus.br;alvo;resolve;104.18.24.78;resolve;conecta;HTTP/1.1 302 Found;resolve;conecta
lumeway.com.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
www.lumeway.com.br;alvo;NXDOMAIN;;?;-;-;NXDOMAIN;-
franca.sp.gov.br;alvo;resolve;170.231.100.76;resolve;timeout;-;resolve;timeout
www.franca.sp.gov.br;alvo;resolve;170.231.100.76;resolve;timeout;-;resolve;timeout
ambev.com.br;controle;resolve;45.60.62.149;resolve;conecta;HTTP/1.1 200 OK;-;-
gigabicho.com.br;controle;resolve;104.21.74.10;resolve;conecta;HTTP/1.1 301 Moved Permanently;-;-
anpd.gov.br;controle;resolve;20.195.196.63;resolve;conecta;HTTP/1.0 302 Moved Temporarily;-;-
gov.br;controle;resolve;161.148.164.31;resolve;conecta;HTTP/1.1 302 Found;-;-
google.com;controle;resolve;172.217.162.174;resolve;conecta;HTTP/1.1 301 Moved Permanently;-;-
