site_id;estrato;status;campo;ancorado;chars_citacao;chars_evidencia;citacao
aa.org.br;corp;text;canal_evid;SIM;198;33397;Para exercer esses direitos, entre em contato conosco pelo Fale conosco Se não estiver satisfeito com a nossa resposta, pode apresentar uma reclamação junto da 
aa.org.br;corp;text;finalidade_evid;SIM;1167;33397;3. Nosso uso de informações Podemos usar suas informações para fornecer e melhorar nosso site, aplicativos, pedidos e atividades e para personalizar sua experiê
aa.org.br;corp;text;direitos_evid;SIM;619;33397;você tem o direito de acessar suas informações pessoais mediante solicitação, corrigi-las conforme necessário, excluí-las quando não quiser mais usar nosso site
acontecendoaqui.com.br;corp;text;canal_evid;SIM;194;21664;Na eventualidade de precisar solicitar quaisquer ações sobre seus dados – alteração, inclusão, cancelamento, informações, entre outros – entre em contato atravé
acontecendoaqui.com.br;corp;text;direitos_evid;SIM;194;21664;Na eventualidade de precisar solicitar quaisquer ações sobre seus dados – alteração, inclusão, cancelamento, informações, entre outros – entre em contato atravé
agoradiario.com.br;corp;text;canal_evid;SIM;151;12466;9. Contato Se você tiver dúvidas sobre esta Política de Privacidade, entre em contato conosco: E-mail: suzanoagora.oficial@gmail.com Telefone: (11) 93944-6486
agoradiario.com.br;corp;text;finalidade_evid;SIM;269;12466;"2. Uso das Informações Utilizamos suas informações para: Personalizar a experiência do usuário; Melhorar o conteúdo e os serviços do site; Enviar notificações s"
agoradiario.com.br;corp;text;direitos_evid;SIM;170;12466;"7. Seus Direitos Os usuários têm o direito de: Acessar, corrigir ou excluir suas informações pessoais; Revogar o consentimento para o uso de dados pessoais a qu"
aime.com.br;corp;text;canal_evid;SIM;328;51157;Contato Se você tiver alguma dúvida sobre nossas práticas de privacidade ou esta Política de Privacidade, ou se quiser exercer algum dos direitos disponíveis pa
aime.com.br;corp;text;finalidade_evid;SIM;511;51157;Como usamos suas informações pessoais Fornecimento de produtos e serviços. Usamos suas informações pessoais para fornecer os Serviços a fim de cumprir nosso con
aime.com.br;corp;text;direitos_evid;SIM;674;51157;Direito de acesso/conhecimento: você pode ter o direito de solicitar acesso às informações pessoais que mantemos sobre você, incluindo informações relacionadas 
aime.com.br;corp;text;transf_evid;SIM;627;51157;Podemos transferir, armazenar e processar suas informações pessoais fora do país onde você mora. Suas informações pessoais também são processadas por membros da
anhangueraferramentas.com.br;corp;text;finalidade_evid;SIM;239;57246;Internamente, suas informações são usadas para processar compras, oferecer suporte ao cliente, melhorar serviços, personalizar a experiência de compra e comunic
anhangueraferramentas.com.br;corp;text;direitos_evid;SIM;779;57246;"Direitos do Titular e Proteção De Dados: Você tem o direito de: (i) confirmar se seus dados pessoais estão sendo tratados; (ii) acessar e obter informações sobr"
anpad.org.br;corp;text;canal_evid;SIM;270;16751;"Caso seja desejo de o titular obter a resposta a qualquer um desses direitos ou ACESSO 
a seus dados pessoais, pedimos que o requeira diretamente a nosso Encarr"
anpad.org.br;corp;text;finalidade_evid;SIM;124;16751;"Os dados pessoais financeiros são coletados com a finalidade de faturamento e para 
obrigações fiscais, única e exclusivamente."
anpad.org.br;corp;text;direitos_evid;SIM;361;16751;"A lei resguarda os seguintes direitos aos titulares dos dados pessoais junto ao 
controlador: 
• confirmação da existência de tratamento (utilização de dados); "
apisul.com.br;corp;text;canal_evid;SIM;369;97769;Encarregada de Proteção de Dados (DPO): Carolina Rosiak Lemes Encarregada de Proteção de Dados Substituta (DPO): Maria Eugênia Spenner de Oliveira Endereço para
apisul.com.br;corp;text;finalidade_evid;SIM;538;97769;4. Como utilizamos seus Dados Pessoais? O GRUPO APISUL trata seus dados de maneira transparente e íntegra, obedecendo a finalidades específicas, explícitas e le
apisul.com.br;corp;text;direitos_evid;SIM;889;97769;A lei brasileira lhe garante os seguintes direitos: Confirmação e Acesso: Permite que possa verificar se o GRUPO APISUL trata Dados Pessoais seus e, em caso pos
aquiacontece.com.br;corp;text;canal_evid;SIM;267;59251;Direito de revogar o seu consentimento, nos termos previstos pela Lei nº 13.709/2018, Lei Geral de Proteção de Dados.O acesso às solicitações infra citadas pode
aquiacontece.com.br;corp;text;finalidade_evid;SIM;629;59251;A Aqui Acontece utiliza de seus dados pessoais para uma série de diferentes propósitos, porém todos estes obedecendo ao princípio da finalidade de prestação do(
aquiacontece.com.br;corp;text;direitos_evid;SIM;1215;59251;"Seus direitos enquanto USUÁRIOS incluem: – Direito de confirmação da existência de tratamento de seus dados pessoais; – Direito de acesso aos seus dados pessoai"
aquiacontece.com.br;corp;text;transf_evid;SIM;379;59251;lataformas de automação de envio de notas fiscais. As plataformas referidas acima podem ter seus bancos de dados hospedados em servidores em países como Estados
armazemdc.com.br;corp;text;canal_evid;SIM;250;24044;8. CONTATO Caso tenha dúvidas ou queira exercer seus direitos relacionados à privacidade de dados, entre em contato conosco: E-mail: dpo@armazemcloud.com Telefo
armazemdc.com.br;corp;text;finalidade_evid;SIM;412;24044;"2. COMO UTILIZAMOS SUAS INFORMAÇÕES Os dados coletados são usados para: Prover e manter nossos serviços de armazenamento e segurança digital; Garantir a persona"
armazemdc.com.br;corp;text;direitos_evid;SIM;331;24044;"6. SEUS DIREITOS SOBRE OS DADOS Você possui controle sobre suas informações e pode: Solicitar acesso e revisão dos dados coletados; Corrigir informações incorre"
arquidiocesebh.org.br;corp;text;canal_evid;SIM;490;73527;O Encarregado pelo tratamento de dados pessoais (DPO) Caso persistam dúvidas sobre o tratamento dos dados pessoais realizado pela ARQUIDIOCESE DE BELO HORIZONTE
arquidiocesebh.org.br;corp;text;finalidade_evid;SIM;224;73527;"Os dados fornecidos podem ser utilizados para: Entrar em contato com a instituição; Receber e-mails da instituição; Receber comunicados da instituição (SMS, tel"
arquidiocesebh.org.br;corp;text;direitos_evid;SIM;394;73527;Direitos do usuário Os titulares possuem os seguintes direitos, conferidos pela Lei Geral de Proteção de Dados (LGPD) – Lei 13.709∕2018. – Confirmação da existê
assessoriavip.com.br;corp;text;canal_evid;SIM;147;31785;Assessoria VIP Nome do Encarregado: [JS1] Endereço de e-mail contato@casar.com Endereço postal: Servidão Carminati, nº 47, Florianópolis - SC, CEP 88045-515
assessoriavip.com.br;corp;text;finalidade_evid;SIM;305;31785;"Os dados pessoais fornecidos pelos Usuários serão utilizados pela Assessoria VIP 
 para as finalidades aqui indicadas: Permitir a prestação dos Serviços contrat"
