ordem;rank_tranco;dominio;url
1;7226;drogariasaopaulo.com.br;https://drogariasaopaulo.com.br
2;15541;radios.com.br;https://radios.com.br
3;17161;portal6.com.br;https://portal6.com.br
4;19432;meliuz.com.br;https://meliuz.com.br
5;19727;comprasparaguai.com.br;https://comprasparaguai.com.br
6;21867;simepar.br;https://simepar.br
7;22347;sgisistemas.com.br;https://sgisistemas.com.br
8;23194;gazetadopovo.com.br;https://gazetadopovo.com.br
9;26233;voxus.com.br;https://voxus.com.br
10;32178;omie.com.br;https://omie.com.br
11;38820;utmify.com.br;https://utmify.com.br
12;38964;cebraspe.org.br;https://cebraspe.org.br
13;43185;b3.com.br;https://b3.com.br
14;46805;pmweb.com.br;https://pmweb.com.br
15;54661;noticiasagricolas.com.br;https://noticiasagricolas.com.br
16;55649;uespi.br;https://uespi.br
17;60335;qualityautomacao.com.br;https://qualityautomacao.com.br
18;60341;ev.org.br;https://ev.org.br
19;61293;noataque.com.br;https://noataque.com.br
20;61329;unoesc.edu.br;https://unoesc.edu.br
21;62530;spcbrasil.com.br;https://spcbrasil.com.br
22;62808;comprasnet.gov.br;https://comprasnet.gov.br
23;62827;autentique.com.br;https://autentique.com.br
24;63632;hospedameusite.com.br;https://hospedameusite.com.br
25;64185;netflu.com.br;https://netflu.com.br
26;64700;pechinchou.com.br;https://pechinchou.com.br
27;64729;bancobmg.com.br;https://bancobmg.com.br
28;68240;grupofleury.com.br;https://grupofleury.com.br
29;73913;jucemg.mg.gov.br;https://jucemg.mg.gov.br
30;76413;telegrupos.com.br;https://telegrupos.com.br
31;79755;somostodosum.com.br;https://somostodosum.com.br
32;80142;saboresajinomoto.com.br;https://saboresajinomoto.com.br
33;82115;acessorh.com.br;https://acessorh.com.br
34;82487;ia.br;https://ia.br
35;82712;dlkmodas.com.br;https://dlkmodas.com.br
36;86004;ufersa.edu.br;https://ufersa.edu.br
37;88341;boomsistemas.com.br;https://boomsistemas.com.br
38;88709;unimeduberaba.com.br;https://unimeduberaba.com.br
39;88886;mgapp.mg.gov.br;https://mgapp.mg.gov.br
40;90196;detran.es.gov.br;https://detran.es.gov.br
41;90968;policia-civil.sp.gov.br;https://policia-civil.sp.gov.br
42;94747;wurthdobrasil.com.br;https://wurthdobrasil.com.br
43;96123;inweb.com.br;https://inweb.com.br
44;96493;nipotech.com.br;https://nipotech.com.br
45;100163;atmameditacao.com.br;https://atmameditacao.com.br
46;102095;jsevenprovedor.com.br;https://jsevenprovedor.com.br
47;102163;kroton.com.br;https://kroton.com.br
48;102389;casadosdados.com.br;https://casadosdados.com.br
49;104070;redacao.pr.gov.br;https://redacao.pr.gov.br
50;107604;yamaha-motor.com.br;https://yamaha-motor.com.br
51;108239;unipampa.edu.br;https://unipampa.edu.br
52;108406;pebmed.com.br;https://pebmed.com.br
53;110008;rihappy.com.br;https://rihappy.com.br
54;111170;cidadania.gov.br;https://cidadania.gov.br
55;111811;me.com.br;https://me.com.br
56;114973;encurtador.com.br;https://encurtador.com.br
57;115890;lomadee.com.br;https://lomadee.com.br
58;117434;netdeal.com.br;https://netdeal.com.br
59;128818;crazy-time-brazil.com.br;https://crazy-time-brazil.com.br
60;131483;anp.gov.br;https://anp.gov.br
61;133421;fazaboa.com.br;https://fazaboa.com.br
62;134317;abnt.org.br;https://abnt.org.br
63;139828;bitcom.psi.br;https://bitcom.psi.br
64;140235;cifras.com.br;https://cifras.com.br
65;142951;fulltrack.net.br;https://fulltrack.net.br
66;143250;algar.com.br;https://algar.com.br
67;145601;pdpj.jus.br;https://pdpj.jus.br
68;149244;bs2.com.br;https://bs2.com.br
69;149982;stealthelook.com.br;https://stealthelook.com.br
70;150758;eneldistribuicao.com.br;https://eneldistribuicao.com.br
71;151403;online.net.br;https://online.net.br
72;151637;novajus.com.br;https://novajus.com.br
73;151885;bompracredito.com.br;https://bompracredito.com.br
74;153843;euamomomi.com.br;https://euamomomi.com.br
75;155200;infraero.gov.br;https://infraero.gov.br
76;156735;cora.com.br;https://cora.com.br
77;159607;skypecas.com.br;https://skypecas.com.br
78;159658;moviecom.com.br;https://moviecom.com.br
79;161663;letras.com.br;https://letras.com.br
80;168354;brinox.com.br;https://brinox.com.br
81;169117;pmt.pi.gov.br;https://pmt.pi.gov.br
82;170489;valueserver.net.br;https://valueserver.net.br
83;174552;uems.br;https://uems.br
84;175506;fia.com.br;https://fia.com.br
85;177644;rd.com.br;https://rd.com.br
86;184017;meucurriculoperfeito.com.br;https://meucurriculoperfeito.com.br
87;184854;prospin.com.br;https://prospin.com.br
88;185555;ecuro.com.br;https://ecuro.com.br
89;186372;linkcorreios.com.br;https://linkcorreios.com.br
90;187761;singulare.com.br;https://singulare.com.br
91;188059;upp.com.br;https://upp.com.br
92;189943;diariodoestadogo.com.br;https://diariodoestadogo.com.br
93;191647;primelinelatam.com.br;https://primelinelatam.com.br
94;192294;tjap.jus.br;https://tjap.jus.br
95;192779;gooroocredito.com.br;https://gooroocredito.com.br
96;195497;lumeway.com.br;https://lumeway.com.br
97;196405;liberdadenews.com.br;https://liberdadenews.com.br
98;196481;invictus.com.br;https://invictus.com.br
99;197472;franca.sp.gov.br;https://franca.sp.gov.br
100;197549;peer-1.com.br;https://peer-1.com.br
