host,estrato,origem,ordem_frozen,banner,banner_conf,politica,politica_conf,canal,canal_conf
angeloni.com.br,corp,b7,51,True,0.95,True,0.95,False,0.95
matrizskateshop.com.br,corp,b7,52,False,0.95,False,0.95,False,0.95
woxikon.com.br,corp,b7,53,False,0.95,True,0.95,False,0.95
grupomateus.com.br,corp,b7,54,True,0.95,True,0.95,True,0.95
sissifios.com.br,corp,b7,56,True,0.65,True,0.95,False,0.95
empregasaojose.com.br,corp,b7,57,False,0.95,True,0.65,True,0.95
webhaus.com.br,corp,b7,58,False,0.95,False,0.95,False,0.95
acheipneus.com.br,corp,b7,59,False,0.95,True,0.95,False,0.95
biorebrasil.com.br,corp,b7,60,True,0.95,True,0.95,False,0.95
mysmartclinic.com.br,corp,b7,61,True,0.65,False,0.95,False,0.95
portalbnu.com.br,corp,b7,62,False,0.95,False,0.95,False,0.95
porta80.com.br,corp,recollect,63,True,0.95,False,0.95,False,0.95
espaider.com.br,corp,b7,66,True,0.95,True,0.95,True,0.95
funerariasaojoao.com.br,corp,b7,67,True,0.95,True,0.95,False,0.95
davoiisp.com.br,corp,b7,69,False,0.95,False,0.95,False,0.95
omnilink.com.br,corp,b7,70,False,0.95,True,0.95,True,0.95
romabc.com.br,corp,b7,71,False,0.95,False,0.95,False,0.95
seminovosmovida.com.br,corp,b7,72,True,0.95,True,0.95,False,0.95
winco.com.br,corp,b7,73,False,0.95,False,0.95,False,0.95
dntbras.com.br,corp,b7,74,False,0.95,False,0.95,False,0.95
holeriteonline.com.br,corp,b7,75,False,0.95,True,0.95,False,0.95
cronoshare.com.br,corp,b7,76,True,0.65,True,0.95,False,0.95
grupoip2.com.br,corp,b7,77,True,0.65,False,0.95,False,0.95
uninove.br,corp,b7,78,True,0.95,True,0.65,False,0.95
newstorerj.com.br,corp,b7,79,False,0.95,False,0.95,False,0.95
seucondominio.com.br,corp,b7,80,True,0.95,False,0.95,False,0.95
workbandalarga.com.br,corp,b7,81,True,0.65,True,0.95,False,0.95
estudeseg.com.br,corp,b7,82,True,0.65,False,0.95,False,0.95
unc.br,corp,b7,83,False,0.95,False,0.95,False,0.95
telecomvirtual.com.br,corp,b7,85,False,0.95,False,0.95,False,0.95
livralivro.com.br,corp,b7,86,False,0.95,True,0.95,False,0.95
fortatacadista.com.br,corp,b7,87,True,0.65,False,0.95,False,0.95
daypag.com.br,corp,b7,88,False,0.95,False,0.95,False,0.95
mftelecom.net.br,corp,b7,89,False,0.95,False,0.95,False,0.95
jgean.com.br,corp,b7,90,True,0.65,False,0.95,False,0.95
maisconsultoria.com.br,corp,b7,91,False,0.95,False,0.95,False,0.95
voetur.com.br,corp,b7,92,False,0.95,True,0.95,True,0.95
acessodigital.com.br,corp,b7,93,True,0.95,True,0.95,False,0.95
compraevolta.com.br,corp,b7,94,True,0.95,True,0.95,True,0.95
serverconsignado.com.br,corp,b7,95,False,0.95,False,0.95,False,0.95
mimocrafts.com.br,corp,b7,96,False,0.95,False,0.95,False,0.95
alugoportemporada.com.br,corp,b7,97,False,0.95,False,0.95,False,0.95
vitoriadaconquistanoticias.com.br,corp,b7,98,False,0.95,False,0.95,False,0.95
iplaza.com.br,corp,b7,99,False,0.95,False,0.95,False,0.95
hisaleiloes.com.br,corp,b7,100,False,0.95,True,0.95,False,0.95
ocorreio.com.br,corp,b7,101,False,0.95,False,0.95,False,0.95
efoa.br,corp,recollect,103,False,0.95,False,0.95,False,0.95
appclientefiel.com.br,corp,b7,104,False,0.95,False,0.95,False,0.95
propmark.com.br,corp,b7,105,False,0.95,False,0.95,False,0.95
petlife.com.br,corp,b7,106,True,0.95,True,0.65,False,0.95
onfly.com.br,corp,b7,107,True,0.95,True,0.95,True,0.95
conexasaude.com.br,corp,b7,108,True,0.95,False,0.95,False,0.95
lunacom.com.br,corp,b7,109,False,0.95,False,0.95,False,0.95
nddigital.com.br,corp,b7,110,True,0.95,True,0.95,False,0.95
acelerati.com.br,corp,b7,111,False,0.95,False,0.95,False,0.95
ropek.com.br,corp,b7,112,True,0.95,True,0.65,False,0.95
anglocursos.com.br,corp,b7,113,False,0.95,False,0.95,False,0.95
lojaprohall.com.br,corp,b7,114,False,0.95,True,0.95,False,0.95
amazoniareal.com.br,corp,b7,115,False,0.95,False,0.95,False,0.95
yomu.com.br,corp,b7,116,False,0.95,True,0.65,False,0.95
megagym.com.br,corp,b7,117,True,0.95,True,0.95,False,0.95
arquidiocesedefortaleza.org.br,corp,b7,118,False,0.95,True,0.95,False,0.95
sistemalift1.com.br,corp,b7,120,False,0.95,False,0.95,False,0.95
ezectech.com.br,corp,b7,121,False,0.95,False,0.95,False,0.95
nalisa.com.br,corp,b7,122,True,0.95,True,0.95,False,0.95
boadiversao.com.br,corp,b7,123,False,0.95,False,0.95,False,0.95
monitormercantil.com.br,corp,b7,124,True,0.95,False,0.95,False,0.95
casadascercas.com.br,corp,b7,126,False,0.95,True,0.95,False,0.95
alpinestarsbr.com.br,corp,b7,128,True,0.65,True,0.95,True,0.95
radiomaanaim.com.br,corp,b7,129,False,0.95,False,0.95,False,0.95
esferaconstrucaoereforma.com.br,corp,b7,130,False,0.95,False,0.95,False,0.95
mediservice.com.br,corp,b7,132,True,0.95,True,0.95,False,0.95
paymee.com.br,corp,b7,133,True,0.95,True,0.95,True,0.95
predize.com.br,corp,b7,134,False,0.95,False,0.95,False,0.95
appunimedvsf.com.br,corp,b7,135,False,0.95,False,0.95,False,0.95
redacaonline.com.br,corp,b7,136,True,0.95,False,0.95,False,0.95
ibpt.org.br,corp,b7,137,True,0.95,True,0.95,False,0.95
communicare.com.br,corp,b7,138,True,0.95,True,0.95,True,0.95
sisdanca.com.br,corp,b7,139,False,0.95,False,0.95,False,0.95
viajarbarato.com.br,corp,b7,142,True,0.95,True,0.95,True,0.95
kouda.com.br,corp,b7,143,True,0.65,True,0.95,False,0.95
getdemo.com.br,corp,b7,144,False,0.95,True,0.95,False,0.95
americanas.com.br,corp,b7,145,True,0.95,True,0.95,True,0.95
fmcsv.org.br,corp,b7,146,False,0.95,True,0.95,True,0.95
brde.com.br,corp,b7,147,True,0.95,True,0.95,True,0.95
consorciokawasakibrasil.com.br,corp,b7,148,False,0.95,False,0.95,False,0.95
qualidoc.com.br,corp,b7,149,True,0.95,True,0.95,False,0.95
fipe.org.br,corp,b7,151,False,0.95,True,0.65,False,0.95
trackjob.com.br,corp,b7,152,False,0.95,False,0.95,False,0.95
zeroduvidas.com.br,corp,b7,153,False,0.95,False,0.95,False,0.95
alfaunipac.com.br,corp,b7,154,True,0.65,True,0.95,True,0.95
vakinha.com.br,corp,b7,155,False,0.95,True,0.95,True,0.95
brasscom.org.br,corp,b7,157,True,0.95,False,0.95,False,0.95
futsalrj.com.br,corp,b7,158,False,0.95,False,0.95,False,0.95
stella.com.br,corp,b7,160,True,0.95,True,0.95,True,0.95
harem69.com.br,corp,b7,161,False,0.95,True,0.95,False,0.95
aprendebrasil.com.br,corp,b7,162,False,0.95,False,0.95,False,0.95
restaurantevinarium.com.br,corp,b7,163,False,0.95,False,0.95,False,0.95
favaretoleiloes.com.br,corp,b7,164,False,0.95,False,0.95,False,0.95
lingovideo.com.br,corp,b7,166,False,0.95,True,0.95,False,0.95
liquidostore.com.br,corp,b7,167,True,0.65,False,0.95,False,0.95
sdparking.com.br,corp,b7,168,False,0.95,False,0.95,False,0.95
smartlayer.net.br,corp,b7,169,False,0.95,False,0.95,False,0.95
