ordem,estrato,rank_tranco,dominio,url,aprovado
1,governamental,72232,tcu.gov.br,https://tcu.gov.br,true
2,governamental,7564,mec.gov.br,https://mec.gov.br,true
3,governamental,764864,cdhu.sp.gov.br,https://cdhu.sp.gov.br,true
4,governamental,841433,www.sc.gov.br,https://www.sc.gov.br,true
5,governamental,14691,educacao.go.gov.br,https://educacao.go.gov.br,true
6,governamental,79069,sefaz.rs.gov.br,https://sefaz.rs.gov.br,true
7,governamental,34562,cgu.gov.br,https://cgu.gov.br,true
8,governamental,93578,sigeduc.rn.gov.br,https://sigeduc.rn.gov.br,true
9,governamental,8139,esocial.gov.br,https://esocial.gov.br,true
10,governamental,88772,cidadao.mg.gov.br,https://cidadao.mg.gov.br,true
11,governamental,216636,policiacientifica.sc.gov.br,https://policiacientifica.sc.gov.br,true
12,governamental,713491,meriti.rj.gov.br,https://meriti.rj.gov.br,true
13,governamental,731627,ima.sc.gov.br,https://ima.sc.gov.br,true
14,governamental,767959,consultaescolas.pr.gov.br,https://consultaescolas.pr.gov.br,true
15,governamental,837412,valesocial.rj.gov.br,https://valesocial.rj.gov.br,true
16,governamental,800520,maraba.pa.gov.br,https://maraba.pa.gov.br,true
17,governamental,549223,bombeiros.mg.gov.br,https://bombeiros.mg.gov.br,true
18,governamental,86968,www.to.gov.br,https://www.to.gov.br,true
19,governamental,804216,mongagua.sp.gov.br,https://mongagua.sp.gov.br,true
20,governamental,315368,cetesb.sp.gov.br,https://cetesb.sp.gov.br,true
