ordem,estrato,rank_tranco,dominio,url,aprovado
1,governamental,5814,inss.gov.br,https://inss.gov.br,true
2,governamental,801027,matogrossodosul.pr.gov.br,https://matogrossodosul.pr.gov.br,true
3,governamental,531758,tce.sp.gov.br,https://tce.sp.gov.br,true
4,governamental,65690,gdfnet.df.gov.br,https://gdfnet.df.gov.br,true
5,governamental,238558,dourados.ms.gov.br,https://dourados.ms.gov.br,true
6,governamental,414960,marica.rj.gov.br,https://marica.rj.gov.br,true
7,governamental,717836,cbtu.gov.br,https://cbtu.gov.br,true
8,governamental,759747,bertioga.sp.gov.br,https://bertioga.sp.gov.br,true
9,governamental,756599,artesp.sp.gov.br,https://artesp.sp.gov.br,true
10,governamental,691845,pmsg.rj.gov.br,https://pmsg.rj.gov.br,true
11,governamental,217069,sds.pe.gov.br,https://sds.pe.gov.br,true
12,governamental,87114,detran.pe.gov.br,https://detran.pe.gov.br,true
13,governamental,834504,trilhasdefuturo.mg.gov.br,https://trilhasdefuturo.mg.gov.br,true
14,governamental,67274,fgts.gov.br,https://fgts.gov.br,true
15,governamental,813679,pge.rn.gov.br,https://pge.rn.gov.br,true
16,governamental,756966,assistenciasocial.se.gov.br,https://assistenciasocial.se.gov.br,true
17,governamental,1933,fazenda.gov.br,https://fazenda.gov.br,true
18,governamental,820210,riobonito.rj.gov.br,https://riobonito.rj.gov.br,true
19,governamental,109684,dns1e.sp.gov.br,https://dns1e.sp.gov.br,true
20,governamental,840093,webdenuncia.sp.gov.br,https://webdenuncia.sp.gov.br,true
21,governamental,823006,scdp.am.gov.br,https://scdp.am.gov.br,true
22,governamental,815865,pousoalegre.mg.gov.br,https://pousoalegre.mg.gov.br,true
23,governamental,992472,itaborai.rj.gov.br,https://itaborai.rj.gov.br,true
24,governamental,823315,seap.pb.gov.br,https://seap.pb.gov.br,true
25,governamental,761761,bombeiros.to.gov.br,https://bombeiros.to.gov.br,true
26,governamental,791516,jornalminasgerais.mg.gov.br,https://jornalminasgerais.mg.gov.br,true
27,governamental,716292,santaluzia.mg.gov.br,https://santaluzia.mg.gov.br,true
28,governamental,848980,tributos.gov.br,https://tributos.gov.br,true
29,governamental,12525,vlibras.gov.br,https://vlibras.gov.br,true
30,governamental,166151,pjf.mg.gov.br,https://pjf.mg.gov.br,true
31,governamental,816133,prefeituradearuja.sp.gov.br,https://prefeituradearuja.sp.gov.br,true
32,governamental,487344,sefazrs.rs.gov.br,https://sefazrs.rs.gov.br,true
33,governamental,31526,sei.rj.gov.br,https://sei.rj.gov.br,true
34,governamental,74431,presidencia.gov.br,https://presidencia.gov.br,true
35,governamental,815069,pmpr.pr.gov.br,https://pmpr.pr.gov.br,true
36,governamental,54258,iti.gov.br,https://iti.gov.br,true
37,governamental,771450,dioe.pr.gov.br,https://dioe.pr.gov.br,true
38,governamental,717287,mogidascruzes.sp.gov.br,https://mogidascruzes.sp.gov.br,true
39,governamental,837419,valinhos.sp.gov.br,https://valinhos.sp.gov.br,true
40,governamental,517828,piauilink.pi.gov.br,https://piauilink.pi.gov.br,true
41,governamental,662618,araruama.rj.gov.br,https://araruama.rj.gov.br,true
42,governamental,89074,vreredesim.sp.gov.br,https://vreredesim.sp.gov.br,true
43,governamental,351130,desenvolvimento.gov.br,https://desenvolvimento.gov.br,true
