ordem_b8,host,estrato,origem,ordem_frozen_b7
1,safeweb.com.br,corp,b7,235
2,hondaposvenda.com.br,corp,b7,222
3,daypag.com.br,corp,b7,88
4,newstorerj.com.br,corp,b7,79
5,vhita.com.br,corp,b7,182
6,uninorte.com.br,corp,b7,216
7,sistemalift1.com.br,corp,b7,120
8,iplaza.com.br,corp,b7,99
9,restaurantevinarium.com.br,corp,b7,163
10,winco.com.br,corp,b7,73
11,t4stecnologia.com.br,corp,b7,231
12,sisdanca.com.br,corp,b7,139
13,danielgarcialeiloes.com.br,corp,b7,215
14,fipe.org.br,corp,b7,151
15,harem69.com.br,corp,b7,161
16,unimedmaceio.com.br,corp,b7,197
17,predize.com.br,corp,b7,134
18,lunacom.com.br,corp,b7,109
19,damie.com.br,corp,b7,179
20,conexaoincriveis.com.br,corp,b7,189
21,temconsignado.com.br,corp,b7,218
22,getdemo.com.br,corp,b7,144
23,biglinux.com.br,corp,b7,184
24,domhelder.edu.br,corp,b7,201
25,consorciokawasakibrasil.com.br,corp,b7,148
26,brasscom.org.br,corp,b7,157
27,boadiversao.com.br,corp,b7,123
28,ocorreio.com.br,corp,b7,101
29,mftelecom.net.br,corp,b7,89
30,kickante.com.br,corp,b7,227
31,grupomateus.com.br,corp,b7,54
32,alugoportemporada.com.br,corp,b7,97
33,voetur.com.br,corp,b7,92
34,onfly.com.br,corp,b7,107
35,nddigital.com.br,corp,b7,110
36,dntbras.com.br,corp,b7,74
37,unc.br,corp,b7,83
38,meuollie.com.br,corp,b7,192
39,anglocursos.com.br,corp,b7,113
40,sdparking.com.br,corp,b7,168
41,piauilink.pi.gov.br,gov,b7,40
42,itapevi.sp.gov.br,gov,b7,44
43,cgu.gov.br,gov,gov_supp,7
44,saogoncalo.rn.gov.br,gov,b7,48
45,pge.rn.gov.br,gov,recollect,15
46,pousoalegre.mg.gov.br,gov,b7,22
47,dioe.pr.gov.br,gov,recollect,37
48,marica.rj.gov.br,gov,b7,6
49,www.sc.gov.br,gov,gov_supp,4
50,braganca.sp.gov.br,gov,b7,47
