ordem;rank_tranco;dominio;url;estrato;situacao
1;22347;sgisistemas.com.br;https://sgisistemas.com.br;outro;sem_evidencia
2;60335;qualityautomacao.com.br;https://qualityautomacao.com.br;outro;sem_evidencia
3;82115;acessorh.com.br;https://acessorh.com.br;outro;sem_evidencia
4;82487;ia.br;https://ia.br;outro;sem_evidencia
5;90968;policia-civil.sp.gov.br;https://policia-civil.sp.gov.br;governamental;sem_evidencia
6;94747;wurthdobrasil.com.br;https://wurthdobrasil.com.br;outro;sem_evidencia
7;102163;kroton.com.br;https://kroton.com.br;outro;sem_evidencia
8;131483;anp.gov.br;https://anp.gov.br;governamental;sem_evidencia
9;139828;bitcom.psi.br;https://bitcom.psi.br;outro;sem_evidencia
10;142951;fulltrack.net.br;https://fulltrack.net.br;outro;sem_evidencia
11;145601;pdpj.jus.br;https://pdpj.jus.br;governamental;sem_evidencia
12;151403;online.net.br;https://online.net.br;outro;sem_evidencia
13;151637;novajus.com.br;https://novajus.com.br;outro;sem_evidencia
14;155200;infraero.gov.br;https://infraero.gov.br;governamental;sem_evidencia
15;174552;uems.br;https://uems.br;outro;sem_evidencia
16;184017;meucurriculoperfeito.com.br;https://meucurriculoperfeito.com.br;outro;sem_evidencia
17;191647;primelinelatam.com.br;https://primelinelatam.com.br;outro;sem_evidencia
18;192294;tjap.jus.br;https://tjap.jus.br;governamental;sem_evidencia
19;195497;lumeway.com.br;https://lumeway.com.br;outro;sem_evidencia
20;197472;franca.sp.gov.br;https://franca.sp.gov.br;governamental;sem_evidencia
