ordem;rank_tranco;dominio;url
1;11875;seduc.ce.gov.br;https://seduc.ce.gov.br
2;24881;brasiltelecom.net.br;https://brasiltelecom.net.br
3;33483;ahgora.com.br;https://ahgora.com.br
4;83999;sefaz.pe.gov.br;https://sefaz.pe.gov.br
5;88430;gigabicho.com.br;https://gigabicho.com.br
6;146417;ambev.com.br;https://ambev.com.br
7;162885;tendaatacado.com.br;https://tendaatacado.com.br
8;174468;appus.com.br;https://appus.com.br
9;181892;seminovos.com.br;https://seminovos.com.br
10;182057;maxtitanium.com.br;https://maxtitanium.com.br
