site_id;estrato;origem;evidencia_arquivo;status;tem_canal_titular;forma:email_lgpd_controlador;forma:email_grupo_controlador;forma:email_generico_rotulado;forma:subpagina_canal_titular;forma:subpagina_encarregado;forma:telefone_encarregado;forma:formulario_direitos;forma:plataforma_externa_dsr;forma:outro;canal_evid;canal_incerto;canal_b8_ref;finalidade;finalidade_evid;finalidade_incerto;direitos_titular;direitos_art18_I;direitos_art18_II;direitos_art18_III;direitos_art18_IV;direitos_art18_V;direitos_art18_VI;direitos_art18_VII;direitos_art18_VIII;direitos_art18_IX;direitos_count;direitos_evid;direitos_incerto;transf_internacional;transf_subtipo;transf_art17_I;transf_art17_II;transf_art17_III;transf_art17_IV;transf_art17_V;transf_art17_VI;transf_count;transf_evid;transf_incerto;obs
angeloni.com.br;corp;b7;Rotulagem/evidencia/angeloni.com.br.txt;text;1;0;0;1;0;0;0;0;0;0;6.‎ ‎ QUAIS SÃO OS SEUS DIREITOS E COMO EXERCÊ-LOS 6.1. Seus Direitos básicos. Você poderá solicitar ao nosso Encarregado de Dados Pessoais por meio do link: ouvidoria@angeloni.com.br ;nao;;1;I) Identificar e autenticar Você. (II) Cumprir as obrigações decorrentes do uso dos nossos serviços. (III) Possibilitar a efetivação da entrega/disponibilização dos produtos e/ou serviços oferecidos. (IV) Possibilitar o seu contato no Fale Conosco e na Ouvidora para o esclarecimento de dúvidas, sugestões e reclamações. (V) Garantir a portabilidade dos Dados cadastrais para outro Controlador do mesmo ramo de nossa atuação, caso solicitado por Você, cumprindo com obrigação do artigo 18 da Lei Geral de Proteção de Dados Pessoais. (VI) Ampliar nosso relacionamento, Informar Você sobre novidades, funcionalidades, conteúdos, notícias e demais eventos que consideramos relevantes para Você. (VII) Enriquecer sua experiência conosco promover nossos produtos e serviços, empresas do Grupo Econômico Angeloni e parceiros. (VIII) Cumprir com a legislação para emissão de Notas Fiscais das compras que Você efetuar conosco e para concretizar eventuais devoluções necessárias. (IX) Proteger Você realizando prevenção a fraudes, proteção ao crédito e riscos associados, além do cumprimento de obrigações legais e regulatórias. Dados de Identificação digital Endereço IP e Porta Lógica de Origem Dispositivo (versão do sistema operacional) Dispositivo (versão do sistema operacional) Registros de data e horário cada ação que Você realizar Quais telas você acessou Imagens em vídeo capturadas em CCTV ID da sessão Cookies, Web beacons e recursos em JavaScritp (I) Identificar e autenticar Você. (II) Cumprir com obrigações legais de manutenção de registros estabelecidas pelo Marco Civil da Internet - Lei 12.965/2014. (III) Proteger Você realizando prevenção a fraudes, proteção ao crédito e riscos associados, além do cumprimento de obrigações legais e regulatórias. Dados de pagamento Número do cartão de crédito e código de segurança (I) Cumprir com obrigações legais e o com o nosso contrato ao compartilhar os Dados com a empresa terceira responsável em processar o pagamento.;nao;1;1;1;1;1;1;0;0;1;1;7;"(V) Garantir a portabilidade dos Dados cadastrais para outro Controlador do mesmo ramo de nossa atuação, caso solicitado por Você, cumprindo com obrigação do artigo 18 da Lei Geral de Proteção de Dados Pessoais.
6.‎ ‎ QUAIS SÃO OS SEUS DIREITOS E COMO EXERCÊ-LOS 6.1. Seus Direitos básicos. Você poderá solicitar ao nosso Encarregado de Dados Pessoais por meio do link: ouvidoria@angeloni.com.br , a confirmação da existência tratamento de Dados Pessoais, além da exibição ou retificação de seus Dados Pessoais, por meio do nosso Canal de Atendimento. 6.2. Limitação, oposição e exclusão de dados. Pelo mesmo link, Você poderá também requerer: ‎ ‎‎ ‎ (I) A limitação do uso de seus Dados Pessoais; ‎ ‎‎ ‎ (II) Manifestar sua oposição e/ou revogar o consentimento quanto ao uso de seus Dados Pessoais; ou ‎ ‎‎ ‎ (III) Solicitar a exclusão de seus Dados Pessoais que tenham sidos coletados por Nós. ‎ ‎‎ ‎ 6.2.1. Se Você retirar seu consentimento para finalidades fundamentais ao regular funcionamento dos Nossos Ambientes e serviços, tais ambientes e serviços poderão ficar indisponíveis para Você. ‎ ‎‎ ‎ 6.2.2. Caso Você solicite a exclusão de seus Dados Pessoais, pode ocorrer que os Dados precisem ser mantidos por período superior ao pedido de exclusão, nos termos do artigo 16 da Lei Geral de Proteção de Dados Pessoais, para (i) cumprimento de obrigação legal ou regulatória, (ii) estudo por órgão de pesquisa, e (iii) transferência a terceiro (respeitados os requisitos de tratamento de dados dispostos na mesma Lei). Em todos os casos mediante a anonimização dos Dados Pessoais, desde que possível. ‎ ‎‎ ‎ 6.2.3. Findos o prazo de manutenção e a necessidade legal, os Dados Pessoais serão excluídos com uso de métodos de descarte seguro, ou utilizados de forma anonimizada para fins estatísticos. ‎ ‎‎ ‎ 6.2.4. Para fins de manutenção da sua e da nossa segurança, podemos solicitar quando da requisição de exercício de direitos, a confirmação de sua identidade por meio dos mecanismos e ferramentas disponíveis. ";nao;1;transferencia;0;0;0;0;0;0;0;5.4. Os Dados coletados serão armazenados em nossos servidores localizados no Brasil, bem como em ambiente de uso de recursos ou servidores na nuvem (cloud computing), o que poderá exigir uma transferência e/ou processamento destes Dados fora do Brasil. ;nao;
matrizskateshop.com.br;corp;b7;Rotulagem/evidencia/matrizskateshop.com.br.txt;NA;NA;;;;;;;;;;;nao;;NA;;;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;"o sitio tem política de privacidade na url https://www.matrizskateshop.com.br/p/termos, sob o link na homepage ""Políticas e Formas de Pagamentos"""
woxikon.com.br;corp;b7;Rotulagem/evidencia/woxikon.com.br.txt;text;1;;;1;;;1;;;1;"Se tiver alguma dúvida sobre o processamento de seus dados pessoais ou sobre o exercício de seus direitos de acordo com o GDPR, consulte nosso responsável externo pela proteção de dados:
Escritório de advocacia Costard
Parque Empresarial EUROCOM
Lina-Ammon-Strasse 9
90471 Nuremberg

Telefone: 0911 / 790 30 34
Fax: 0911 / 790 30 35

Endereço de e-mail: costard@it-rechtsberater.de

www.it-rechtsberater.de";nao;;1;"para o cumprimento do contrato do qual você é parte ou para o cumprimento de obrigações pré-contratuais em relação a você
para o fornecimento de sua conta, suporte técnico e outras finalidades semelhantes
para resolver outros problemas com nossos produtos e o armazenamento de nossas comunicações com você, na medida necessária para resolver o problema.";nao;1;1;;1;1;1;;1;1;;6;"a) Direito à informação

Você pode obter informações sobre seus dados processados por nós a qualquer momento, de acordo com o Art. 15 do GDPR. Em particular, você pode solicitar informações sobre as finalidades do processamento, as categorias de dados processados, as categorias de possíveis destinatários e o período de armazenamento planejado.

Você pode fazer valer seu direito usando os detalhes fornecidos em Contato.

b) Direito de retificação

Você tem o direito de solicitar a correção ou a complementação de seus dados armazenados por nós se os dados estiverem incorretos, de acordo com o Art. 16 do GDPR.

Você pode fazer valer seu direito usando os detalhes fornecidos em Contato.

c) Direito de cancelamento

De acordo com o Art. 17 do GDPR, você pode solicitar a exclusão dos dados se o armazenamento dos dados não for mais necessário e não houver outra base legal para o processamento. Você também pode solicitar a exclusão se tiver se oposto ao processamento e não houver motivos legítimos que prevaleçam para o processamento adicional de seus dados e se seus dados tiverem sido processados ilegalmente ou se houver uma obrigação legal de apagar os dados de acordo com a legislação nacional ou da UE.

Você pode fazer valer seu direito usando os detalhes fornecidos em Contato.

d) Direito à restrição

Além disso, você tem o direito de restringir o p";nao;0;coleta_internacional;;;;;;;0;"Seus dados pessoais serão processados dentro e fora da União Europeia (""UE"") e do Espaço Econômico Europeu (""EEE"") por nós ou pelas partes mencionadas na seção 1.4. Observação: se os seus dados forem transferidos do seu país de origem para outro país, as leis que protegem seus dados nesse país podem ser diferentes das leis do seu país (e podem garantir apenas um nível mais baixo de proteção). Por exemplo, as condições";nao;
grupomateus.com.br;corp;b7;Rotulagem/evidencia/grupomateus.com.br.txt;text;1;1;0;0;0;0;0;0;1;0;"ENCARREGADO OU DATA PROTECTION OFFICER (“DPO”) Em conformidade de acordo com o Artigo 41 da LGPD, o Grupo Mateus nomeou uma DPO, responsável pela proteção de dados pessoais e privacidade, capacitada e responsável por conduzir todas as atividades exigidas pela LGPD e pela ANPD, incluindo, mas sem se limitar a: 1. Aceitar reclamações e comunicações de Titulares dos dados, fornecer explicações e adotar medidas; 2. Receber comunicações da ANPD e adotar as medidas de proteção de dados necessárias; e 3. Orientar nossos funcionários e contratados sobre práticas a serem tomadas em relação à proteção de Dados Pessoais. Para dúvidas relacionadas ao tratamento de dados pessoais, você pode entrar em contato com a equipe responsável pela proteção de dados e privacidade, ou com o Encarregado do GRUPO MATEUS, Kerlen Nunes, por meio do e-mail: privacidade@grupomateus.com.br 
formulário DSR em https://dpo.privacytools.com.br/public_api/dsar/j0yNJGP80YpM6bm2hq2OZD3gRzHiavIHwhYhH2Fiyi__plus__Q12gsJwoggah1R1BJKTrv6IsOxq0zdzh1Syyj2T8uyA__equal____equal__/form.html";nao;TRUE;1;"Os dados são utilizados para emitir notas fiscais relativas às compras que você efetuar junto ao Grupo Mateus; Identificar e validar você ou seu representante na emissão de boletos, retirada de produtos adquiridos na modalidade take Away e/ou drive-thru; Identificar o titular nos pontos de venda para creditar em eventuais programas de benefícios, promoções e cashback; Segurança pessoal. Retirada de produtos no Balcão de Atacado Nome completo, CPF, e ndereço, telefone , biometria facial e foto do documento de identificação. O reconhecimento facial é utilizado para assegurar que o cliente é realmente o destinatário autorizado do produto, garantindo a segurança na entrega, prevenindo que terceiros não autorizados retirem produtos;";nao;1;1;1;1;1;1;1;1;1;1;9;"DIREITOS DOS TITULARES Por meio do FORMULÁRIO DE ATENDIMENTO AO TITULAR o Usuário poderá solicitar: I. confirmação da existência de tratamento; II. acesso aos seus dados pessoais tratados pelo GRUPO MATEUS; III. correção de dados incompletos, inexatos ou desatualizados; IV. anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto na LGPD; V. portabilidade dos dados a outro fornecedor de serviço ou produto, observados os segredos comercial e industrial; VI. eliminação dos dados pessoais tratados com seu consentimento; VII. informação das entidades públicas e privadas com as quais o GRUPO MATEUS realizou uso compartilhado de dados; VIII. informação sobre a possibilidade de não fornecer o seu consentimento; IX. revogação do consentimento (quando o tratamento se basear nessa hipótese legal); X. solicitar a revisão de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais que afetem seus interesses, incluídas as decisões destinadas a definir o seu perfil pessoal, profissional, de consumo e de crédito ou os aspectos de sua personalidade.";nao;1;transferencia;0;1;0;0;0;0;1;TRANSFERÊNCIA INTERNACIONAL DE DADOS Os dados pessoais tratados em decorrência de nossos serviços poderão ser armazenados em nossos servidores localizados no Brasil, bem como em ambiente de uso de recursos ou servidores na nuvem ( cloud computing ), o que poderá exigir uma transferência de dados pessoais para fora do Brasil. Desse modo, embora estejamos alocados no Brasil e os Serviços e as Plataformas sejam destinados a pessoas localizadas no Brasil, aplicando-se, portanto, as leis brasileiras relacionadas à proteção de dados pessoais, o Grupo Mateus poderá realizar transferências internacionais destes dados para outros países, dentre eles Estados Unidos da América, Canadá e países pertencentes à União Europeia, a fim de realizar algumas das atividades envolvidas nos serviços prestados a você, bem como para poder obter informações que possam contribuir para o aperfeiçoamento dos nossos serviços. Em qualquer caso de compartilhamento com parceiros localizados em outros países, estabelecemos contratualmente que o parceiro tem o dever de manter o padrão de proteção de dados e segurança da informação compatível com esta política de privacidade, bem como da Lei 13.709/2018, a fim de que seus dados sejam sempre protegidos nestes termos.;nao;
sissifios.com.br;corp;b7;Rotulagem/evidencia/sissifios.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;;nao;;1;"2. Utilização das informações: Para você, cliente, ter maior agilidade e segurança na hora de navegar, a Sissi Fios solicita alguns dados de caráter pessoal. A coleta dessas informações permite a adaptação do site às suas devidas necessidades, melhorando a performance de acesso nas navegações. A título de segurança, as nossas informações coletadas possuem as seguintes finalidades: - Compartilhar as informações pessoais com alguns prestadores de serviços particulares da Sissi Fios, tais como call centers, programas de fidelidade, intermediários de gestão de pagamentos e serviços de transporte; - Enviar para você algumas informações ou mensagens pelo e-mail cadastrado acerca de promoções, publicidades e ofertas da Sissi Fios; - Aperfeiçoar as nossas iniciativas comerciais e promocionais, a fim de melhorar todas as ofertas que oferecermos de determinados produtos; - Desenvolver estudos internos a respeito dos seus comportamentos e interesses; A Sissi Fios possui critérios rigorosos que colocam em prática a privacidade e segurança dos seus dados pessoais. Entretanto, nós não nos responsabilizamos por usos indevidos de algumas informações aqui prestadas.";nao;1;1;1;1;1;0;1;1;1;1;8;"5. Direitos como titular dos dados pessoais: Nós da [LOJA] priorizamos acima de tudo a transparência com seus dados informados. E além das informações aqui contidas, você também possui o direito em relação à LGPD, que é a Lei Geral de Proteção de Dados. Abaixo iremos listar alguns dos direitos que essa Lei oferece a você: - Revogação do consentimento; - Acesso aos dados pessoais; - Correção de dados incompletos, inexatos ou desatualizados; - Eliminação de dados pessoais tratados com o consentimento ou desnecessários, excessivos ou quando entender que algum ponto da LGPD não foi atendido; - Informação sobre as hipóteses e com quais empresas, parceiros e outras instituições podemos compartilhar, ou receber dados pessoais referentes a você; - Informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa, quando aplicável; - Todas as solicitações serão tratadas de forma gratuita, e serão submetidas a uma prévia avaliação da sua identidade e da viabilidade do atendimento, a fim de cumprir com eventuais obrigações que impeçam o completo atendimento das requisições dos titulares de direito; - Confirmação da existência de tratamento de dados pessoais.";nao;0;silencio;0;0;0;0;0;0;0;;nao;
empregasaojose.com.br;corp;b7;Rotulagem/evidencia/empregasaojose.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;0;0;0;0;0;0;0;;nao;Dentro da política de privacidade tem um link para a política de privacidade do Google, não para o detalhamento da política do próprio site 
webhaus.com.br;corp;b7;Rotulagem/evidencia/webhaus.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;0;0;0;0;0;0;0;;nao;O site ignora a LGPD
acheipneus.com.br;corp;b7;Rotulagem/evidencia/acheipneus.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;NA;;;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;"política é SPA, id=root; render capturado tem só a navegação, sem o corpo; URL correta mas conteúdo não renderizado"
biorebrasil.com.br;corp;b7;Rotulagem/evidencia/biorebrasil.com.br.txt;text;1;0;0;0;0;0;1;0;0;0;Se você tiver dúvidas sobre esta Política, entender que seus termos não estão sendo cumpridos ou tiver alguma questão sobre seus dados pessoais e/ou o tratamento realizado com eles, entre em contato conosco por meio do telefone (11) 3051-3526. Atenderemos sua solicitação, respeitados os termos da LGPD.;nao;;1;A empresa poderá utilizar seus dados pessoais para fornecer a você um atendimento ao cliente mais eficaz, para melhorar o site e torná-lo mais fácil de usar, para oferecer serviços a você, bem como para comunicar-se com você de maneira mais adequada, conforme sua preferência ou interesses particulares;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;transferencia;0;0;0;0;0;0;0;O tratamento dos dados poderá exigir que haja compartilhamento dos seus dados com terceiros, bem como alocação dos dados fora do território nacional.;nao;
mysmartclinic.com.br;corp;b7;Rotulagem/evidencia/mysmartclinic.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;NA;;;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;A política estava no link https://mysmartclinic.com.br/politica-de-privacidade/, mas não estava na evidência analizada
